Co./Last Name	Card ID	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	           - City	           - State	           - Postcode	           - Country	Identifiers
/Ellar Laboratorie's	9310 3799	6 Silicon Place				Tullamarine	Vic	3043	Australia	AQTY
/Hafele Australia	9212 2000	8 Monterey Road				Dandenong	Vic	3175	Australia	ANTX
/Lyppard Australia Limited	8769 0500	14-16 Fiveways Boulevard				Keysborough	Vic	3173	Australia	ANSY
/Lyppard Queensland	07 3260 8600	86 Crockford Street				Northgate	Qld	4013	Australia	CNSY
/Lyppard South Australia	08 8234 2555	28 Charles Road				Beverley	SA	5009	Australia	ENSY
/Lyppard Sydney	02 9899 1500	"Unit 1, 4 Hudson Avenue"				Castle Hill	NSW	2154	Australia	BNSY
/Lyppard Townsville	07 4779 7333	12 Madden Street	Aitkenvale			Townsville	QLD	4814	Australia	CNSY
/Lyppard Western Australia	08 9240 1910	4 Gibberd Road				Balcatta	WA	6021	Australia	FNSY
/Provet Head Office	07 3621 6000a	48 Bell-Are Avenue				Northgate	QLD	4031	Australia	CQSW
/Provet Queensland North	07 4729 3200	57-61 Toll Street				Bohle	Qld	4818	Australia	CNSW
/Provet Queensland South	07 3621 6000	48 Bell-Are Avenue				Northgate	Qld	4031	Australia	CQSW
/Provet Victoria	9540 5700	27 Sunmore Close				Heatherton	Vic	3202	Australia	AQSY
/Therapon Pty Ltd	9808 6300	1-3 Florence Street				Burwood	Vic	3125	Australia	ANSY
4 Paws & More Pet Supplies	9331 7869	"Unit 2, 60 Keilor Park Drive"				Keilor Park	Vic	3402	Australia	AJTY
Abba Boarding Kennels	9798 4362	70 Tyers Lane				Keysborough	Vic	3173	Australia	AMUZ
Abode of the Friendly Toad	9818 1103	99 Burwood Road				Hawthorn	Vic	3122	Australia	AJUY
ACA Breaders Kennels (Companion Pets)	9837 5133	1310 High Street				Wantirna South	Vic	3152	Australia	AJTZ
All 4 Pets - Australia Pty Ltd	9499 2279a	PO Box 415				Somerton	Vic	3062	Australia	AJSYZ
All 4 Pets - Ivanhoe	9499 2279	62 Lower Heidelberg Road				Ivanhoe	Vic	3079	Australia	AJSY
All 4 Pets - Moorabbin	9555 1534	650 South Road				Moorabbin	Vic	3189	Australia	AJSZ
All 4 Pets - Springvale	9574 2166	770 Princes Highway				Springvale	Vic	3171	Australia	AJSZ
Allambie Veterinary Clinic	02 9905 0505	92 Allambie Road				Allambie	NSW	2100	Australia	BKUW
Allendale Boarding Kennels & Cattery	9844 3626	1 Johanson's				Warrandyte South	Vic	3134	Australia	AMUY
Altona North Veterinary Clinic	9391 5837	221 Millers Road				North Altona	Vic	3025	Australia	AKUY
Andorra The Pet Hotel (Lost Dogs Home)	9702 8322	920 Thompsons Road				Cranbourne	Vic	3977	Australia	AMUZ
Animal Care Cranbourne Veterinary Centre	5995 3444	1/199 High Street				Cranbourne	Vic	3977	Australia	AKUZ
Animal Magic	07 5530 3599	Shop 2/19 Railway Street				Mudgeeraba	QLD	4213	Australia	COUW
Animal Welfare Legue	08 8268 4188	1-19 Cormack Road				Wingfield	SA	5013	Australia	EJUW
Animal World of Boronia	9762 3166	Shop 21/163 Boronia Road				Boronia	Vic	3155	Australia	AJUY
Animates Investments	643 365 6970	"Blackheath, First Floor, Unit 3"	9 Wordsworth Street			Sydenham	NZ	4070	Australia	IJUW
Anne Bognar	9521 8428	21 Glenmore Cresent				Blackrock	Vic	3193	Australia	AKUZ
Anvet Pet Clinic - Ashwood	9885 2255	509 Warrigal Road				Ashwood	Vic	3147	Australia	AKSZ
Anvet Pet Clinic - Head Office	9885 2255a	509 Warrigal Road				Ashwood	Vic	3147	Australia	AKSZ
Arrowcraft Industries	5152 5380	61 Forge Creek Road				Bairnsdale	Vic	3875	Australia	ANUW
Ascot Saddlery	9376 5444	540 Racecourse Road				Flemington	Vic	3031	Australia	ALSY
Ascot Vale Stockfeed	9376 6871	536 Racecourse Road				Flemington	Vic	3031	Australia	ALSY
Ashburton Pet Supply	9885 4764	1a Welfare Parade				Ashburton	Vic	3147	Australia	AJTZ
Aspendale Gardens Animal Hospital	9587 4599	PO Box 7332	Karingal Centre Post Office			Frankston	Vic	3199	Australia	AKUZ
Aspendale Vet Clinic	9772 7822	262 Nepean Highway				Edithvale	Vic	3196	Australia	AKUZ
Aussie Country Pet Food	08 8557 8885	2/161 Esplanade				Aldinga Beach	SA	5173	Australia	EJTW
Australian Animal Protection	9798 8415	10 Homeleigh Road				Keysborough	Vic	3173	Australia	AKTZ
Australian Bird Company	9546 1711	578 Springvale Road				Springvale North	Vic	3171	Australia	AJUZ
Bacchus Marsh Farm Supplies	5367 3066	4-6 Grant Street				Bacchus Marsh	Vic	3340	Australia	ALTY
Bacchus Marsh Stockfeed	5367 1205	216 Main Street				Bacchus Marsh	Vic	3340	Australia	ALSY
Ballarat Pet Food Supplies	5335 9104	520 Skipton Street				Ballarat	Vic	3350	Australia	AJUY
Balnarring Stockfeed	5983 5150	2990 Frankston Flinders Road				Balnarring	Vic	3936	Australia	ALUZ
Balwyn Vet Surgery	9817 4561	185 Whitehorse Road				Balwyn	Vic	3103	Australia	AKUY
Bark Avenue	9589 2806	20 Keys Street				Beaumaris	Vic	3193	Australia	AMUZ
Barkers Vet Clinic	9853 3990	37 Church Street				Hawthorn	Vic	3122	Australia	AKUY
Barking Mad	02 4464 3370	"Shop 4, 78 Albert Court"				Berry	NSW	2535	Australia	BJUW
Barking Mad Pet Supplies Victoria	9416 7600	731 High Street				Thornbury	Vic	3071	Australia	AJSY
Bayer Australia	0418 720 521	875 Pacific Highway				Pymble	NSW	2073	Australia	BNUW
Bayside Pet Centre	9772 1247	71 Soden Road				Bangholme	Vic	3175	Australia	AMUZ
Bayswater Australian Pets	9729 6284	747 Mountain Highway				Bayswater	Vic	3153	Australia	AJUY
Bayswater Vet Clinic	9729 1153	627 Mountain Highway				Bayswater	Vic	3153	Australia	AKUY
Beaconsfield-Berwick Pet Resort	9707 1661	236 Beaconsfield-Emerald Road				Beaconsfield	vIC	3807	Australia	AMUZ
Beaconsfield Pet Supplies	9707 2841	14B 55 Princes Highway				Beaconsfield	Vic	3807	Australia	AJUZ
Beds for Tails Resort & Spa	5983 6772	130 Hendersons Road				Bittern	Vic	3918	Australia	AMTZ
Belgrave Pet Supplies n Grooming Shoppe	9752 6452	1527 Burwood Highway				Tecoma	Vic	3160	Australia	AJTZ
Belgrave South Vet Clinic	9754 2316	136 Belgrave-Hallam Road				Belgrave	Vic	3160	Australia	AKUZ
Bell's Pet Shop	9354 7822	104 Kent Street				Pascoe Vale	Vic	3044	Australia	AJUY
Bellarine Veterinary Practice	5248 2009	65 Coppards Road				Newcomb	Vic	3219	Australia	AKUY
