	Name	Sales	% Total Sales	Card ID						
	/Ellar Laboratories	"$1,532.00 "	0.20%	9310 3799						
	/Hafele Australia	"$2,428.96 "	0.40%	9212 2000						
	/Lyppard Australia Limited	"$24,247.28 "	3.50%	8769 0500						
	/Lyppard Queensland	$0.00 	0.00%	07 3260 8600						
	/Lyppard South Australia	$0.00 	0.00%	08 8234 2555						
	/Lyppard Sydney	$0.00 	0.00%	02 9899 1500						
	/Lyppard Townsville	$0.00 	0.00%	07 4779 7333						
	/Lyppard Western Australia	$0.00 	0.00%	08 9240 1910						
	/Provet Head Office	"$3,005.10 "	0.40%	07 3621 6000a						
	/Provet Queensland North	"$1,134.00 "	0.20%	07 4729 3200						
	/Provet Queensland South	$567.00 	0.10%	07 3621 6000						
	/Provet Victoria	$85.05 	0.00%	9540 5700						
	/Therapon Pty Ltd	"$31,292.68 "	4.50%	9808 6300						
	4 Paws & More Pet Supplies	"$6,909.55 "	1.00%	9331 7869						
	Abba Boarding Kennels	$272.00 	0.00%	9798 4362						
	Abode of the Friendly Toad	"$1,341.83 "	0.20%	9818 1103						
	ACA Breaders Kennels (Companion Pets)	"$1,109.40 "	0.20%	9837 5133						
	All 4 Pets - Australia Pty Ltd	"$23,993.55 "	3.50%	9499 2279a						
	All 4 Pets - Ivanhoe	$0.00 	0.00%	9499 2279						
	All 4 Pets - Moorabbin	$0.00 	0.00%	9555 1534						
	All 4 Pets - Springvale	$0.00 	0.00%	9574 2166						
	Allambie Veterinary Clinic	"$2,175.00 "	0.30%	02 9905 0505						
	Allendale Boarding Kennels & Cattery	$0.00 	0.00%	9844 3626						
	Altona North Veterinary Clinic	$0.00 	0.00%	9391 5837						
	Andorra The Pet Hotel (Lost Dogs Home)	$0.00 	0.00%	9702 8322						
	Animal Care Cranbourne Veterinary Centre	$221.32 	0.00%	5995 3444						
	Animal Magic	$0.00 	0.00%	07 5530 3599						
	Animal Welfare Legue	$0.00 	0.00%	08 8268 4188						
	Animal World of Boronia	"$1,791.89 "	0.30%	9762 3166						
	Animates Investments	$0.00 	0.00%	643 365 6970						
	Anne Bognar	$0.00 	0.00%	9521 8428						
	Anvet Pet Clinic - Ashwood	$0.00 	0.00%	9885 2255						
	Anvet Pet Clinic - Head Office	$0.00 	0.00%	9885 2255a						
	Arrowcraft Industries	$0.00 	0.00%	5152 5380						
	Ascot Saddlery	$408.06 	0.10%	9376 5444						
	Ascot Vale Stockfeed	"$2,900.73 "	0.40%	9376 6871						
	Ashburton Pet Supply	"$1,036.91 "	0.20%	9885 4764						
	Aspendale Gardens Animal Hospital	"$1,417.00 "	0.20%	9587 4599						
	Aspendale Vet Clinic	$0.00 	0.00%	9772 7822						
	Aussie Country Pet Food	$0.00 	0.00%	08 8557 8885						
	Australian Animal Protection	"$1,877.22 "	0.30%	9798 8415						
	Australian Bird Company	$0.00 	0.00%	9546 1711						
	Bacchus Marsh Farm Supplies	$652.64 	0.10%	5367 3066						
	Bacchus Marsh Stockfeed	"$3,125.14 "	0.50%	5367 1205						
	Ballarat Pet Food Supplies	$0.00 	0.00%	5335 9104						
	Balnarring Stockfeed	"$1,237.46 "	0.20%	5983 5150						
	Balwyn Vet Surgery	$0.00 	0.00%	9817 4561						
	Bark Avenue	$515.88 	0.10%	9589 2806						
	Barkers Vet Clinic	$0.00 	0.00%	9853 3990						
	Barking Mad	$0.00 	0.00%	02 4464 3370						
	Barking Mad Pet Supplies Victoria	"$4,072.82 "	0.60%	9416 7600						
	Bayer Australia	$0.00 	0.00%	0418 720 521						
	Bayside Pet Centre	$0.00 	0.00%	9772 1247						
	Bayswater Australian Pets	$825.39 	0.10%	9729 6284						
	Bayswater Vet Clinic	$0.00 	0.00%	9729 1153						
	Beaconsfield-Berwick Pet Resort	$459.82 	0.10%	9707 1661						
	Beaconsfield Pet Supplies	$298.20 	0.00%	9707 2841						
	Beds for Tails Resort & Spa	$0.00 	0.00%	5983 6772						
	Belgrave Pet Supplies n Grooming Shoppe	"$1,872.56 "	0.30%	9752 6452						
	Belgrave South Vet Clinic	$0.00 	0.00%	9754 2316						
	Bell's Pet Shop	$64.38 	0.00%	9354 7822						
